delivery_partner_id,sla_breach,Churned,partner_name,Action
DP00001,0.6153846153846154,0.6153846153846154,Manoj S,No action needed
DP00002,0.625,0.75,Amit D,No action needed
DP00003,0.4444444444444444,0.6666666666666666,Suresh I,No action needed
DP00004,0.6,0.6,Shreya D,No action needed
DP00005,0.5833333333333334,0.5833333333333334,Suresh T,No action needed
DP00006,0.75,0.625,Divya K,No action needed
DP00007,0.5,0.8333333333333334,Meena S,No action needed
DP00008,0.5714285714285714,0.8571428571428571,Rakesh R,No action needed
DP00009,0.5454545454545454,0.7272727272727273,Ananya V,No action needed
DP00010,0.7272727272727273,0.6363636363636364,Santosh N,No action needed
DP00011,0.875,0.5,Amit G,No action needed
DP00012,0.7272727272727273,0.7272727272727273,Ravi W,No action needed
DP00013,0.5,0.8333333333333334,Neha G,No action needed
DP00014,0.42857142857142855,0.5714285714285714,Rahul O,No action needed
DP00015,0.6666666666666666,0.6666666666666666,Ananya N,No action needed
DP00016,0.7058823529411765,0.7647058823529411,Santosh X,No action needed
DP00017,0.625,1.0,Kiran N,No action needed
DP00018,0.6,0.8,Rakesh M,No action needed
DP00019,0.6363636363636364,1.0,Ananya C,No action needed
DP00020,0.5,1.0,Meena F,No action needed
DP00021,0.6111111111111112,0.8333333333333334,Priya F,No action needed
DP00022,0.6,0.5333333333333333,Manoj H,No action needed
DP00023,0.6666666666666666,1.0,Santosh D,No action needed
DP00024,0.5,0.75,Kiran R,No action needed
DP00025,0.6923076923076923,0.5384615384615384,Divya P,No action needed
DP00026,0.7857142857142857,0.7142857142857143,Amit Z,No action needed
DP00027,0.6363636363636364,0.8181818181818182,Divya G,No action needed
DP00028,0.5,0.75,Nikhil Z,No action needed
DP00029,0.8333333333333334,0.5833333333333334,Ravi E,No action needed
DP00030,0.5714285714285714,1.0,Amit V,No action needed
DP00031,0.8571428571428571,0.7142857142857143,Ravi J,No action needed
DP00032,0.875,0.625,Amit O,No action needed
DP00033,0.5454545454545454,0.8181818181818182,Suresh G,No action needed
DP00034,0.6363636363636364,0.7272727272727273,Santosh P,No action needed
DP00035,0.6666666666666666,0.5,Vikas L,No action needed
DP00036,0.75,0.875,Priya F,No action needed
DP00037,0.7333333333333333,0.8666666666666667,Nikhil T,No action needed
DP00038,0.6153846153846154,0.6923076923076923,Deepak E,No action needed
DP00039,0.6,0.7,Nikhil Q,No action needed
DP00040,0.3333333333333333,0.6666666666666666,Kiran J,No action needed
DP00041,0.625,0.75,Sneha A,No action needed
DP00042,0.7142857142857143,0.5714285714285714,Ravi R,No action needed
DP00043,0.5,0.8333333333333334,Priya C,No action needed
DP00044,0.42857142857142855,0.5714285714285714,Vikas M,No action needed
DP00045,0.6666666666666666,0.6666666666666666,Kiran D,No action needed
DP00046,0.5555555555555556,1.0,Santosh R,No action needed
DP00047,0.625,0.375,Ravi A,No action needed
DP00048,0.7857142857142857,0.9285714285714286,Nikhil B,No action needed
DP00049,0.5714285714285714,0.5714285714285714,Rahul E,No action needed
DP00050,0.8,0.8,Meena B,No action needed
DP00051,0.5384615384615384,0.7692307692307693,Nikhil R,No action needed
DP00052,0.8888888888888888,0.8888888888888888,Suresh J,No action needed
DP00053,0.8,0.5,Sneha I,No action needed
DP00054,0.8181818181818182,0.6363636363636364,Priya L,No action needed
DP00055,0.5,0.875,Meena X,No action needed
DP00056,0.6923076923076923,0.6923076923076923,Suresh E,No action needed
DP00057,0.7333333333333333,0.7333333333333333,Shreya H,No action needed
DP00058,0.75,0.875,Rahul S,No action needed
DP00059,0.8888888888888888,0.5555555555555556,Kiran J,No action needed
DP00060,0.875,0.75,Ravi X,No action needed
DP00061,0.4,0.6,Neha C,No action needed
DP00062,0.375,0.875,Rahul Z,No action needed
DP00063,1.0,0.5,Santosh B,Monitor closely
DP00064,0.8,0.8,Meena Z,No action needed
DP00065,0.6153846153846154,0.7692307692307693,Vikas F,No action needed
DP00066,0.8461538461538461,0.7692307692307693,Vikas E,No action needed
DP00067,0.8571428571428571,0.5714285714285714,Rakesh V,No action needed
DP00068,0.7142857142857143,0.42857142857142855,Divya F,No action needed
DP00069,0.9090909090909091,0.6363636363636364,Deepak H,No action needed
DP00070,0.8,0.7,Neha G,No action needed
DP00071,0.75,1.0,Manoj Z,No action needed
DP00072,0.5714285714285714,0.5714285714285714,Kiran O,No action needed
DP00073,0.5,0.75,Nikhil J,No action needed
DP00074,0.4,0.4,Priya X,No action needed
DP00075,0.8571428571428571,0.5714285714285714,Deepak R,No action needed
DP00076,0.5714285714285714,0.8571428571428571,Pooja J,No action needed
DP00077,0.7,0.6,Kiran E,No action needed
DP00078,0.5555555555555556,0.6666666666666666,Arjun F,No action needed
DP00079,0.6,0.8,Ravi W,No action needed
DP00080,0.6153846153846154,0.7692307692307693,Suresh K,No action needed
DP00081,0.5555555555555556,0.7777777777777778,Meena J,No action needed
DP00082,0.5714285714285714,0.8571428571428571,Divya L,No action needed
DP00083,0.6923076923076923,0.46153846153846156,Ravi B,No action needed
DP00084,0.7777777777777778,0.7777777777777778,Ananya K,No action needed
DP00085,0.4444444444444444,0.7777777777777778,Divya M,No action needed
DP00086,0.6666666666666666,0.4444444444444444,Divya R,No action needed
DP00087,1.0,0.8333333333333334,Meena K,Urgent review and SLA renegotiation
DP00088,0.5714285714285714,0.7142857142857143,Manoj L,No action needed
DP00089,0.875,0.625,Divya J,No action needed
DP00090,0.5555555555555556,0.6666666666666666,Santosh O,No action needed
DP00091,0.42857142857142855,0.8571428571428571,Amit B,No action needed
DP00092,1.0,0.5,Santosh T,Monitor closely
DP00093,0.5,0.75,Meena L,No action needed
DP00094,0.5,0.75,Rakesh B,No action needed
DP00095,0.7272727272727273,0.9090909090909091,Amit S,No action needed
DP00096,0.4,0.8666666666666667,Vikas I,No action needed
DP00097,0.7777777777777778,0.6666666666666666,Nikhil M,No action needed
DP00098,0.3333333333333333,0.5555555555555556,Amit D,No action needed
DP00099,0.6923076923076923,0.8461538461538461,Divya X,No action needed
DP00100,0.45454545454545453,0.9090909090909091,Rahul B,No action needed
DP00101,0.6,0.8,Manoj T,No action needed
DP00102,0.5555555555555556,0.7777777777777778,Manoj M,No action needed
DP00103,0.5714285714285714,0.8571428571428571,Priya Q,No action needed
DP00104,0.5384615384615384,0.8461538461538461,Rahul T,No action needed
DP00105,0.5,0.875,Kiran E,No action needed
DP00106,0.8181818181818182,0.5454545454545454,Priya P,No action needed
DP00107,0.5454545454545454,0.8181818181818182,Neha U,No action needed
DP00108,0.4444444444444444,0.7777777777777778,Rahul I,No action needed
DP00109,0.4444444444444444,0.6666666666666666,Santosh E,No action needed
DP00110,0.6666666666666666,0.8,Shreya H,No action needed
DP00111,0.42857142857142855,0.8571428571428571,Nikhil H,No action needed
DP00112,0.7142857142857143,1.0,Kiran A,No action needed
DP00113,0.5384615384615384,0.6153846153846154,Suresh N,No action needed
DP00114,0.5,0.6,Ananya P,No action needed
DP00115,0.75,0.625,Ananya K,No action needed
DP00116,0.8,0.8,Manoj H,No action needed
DP00117,0.625,0.6875,Vikas C,No action needed
DP00118,0.8181818181818182,0.7272727272727273,Priya A,No action needed
DP00119,0.625,0.625,Nikhil S,No action needed
DP00120,0.5,0.8,Arjun C,No action needed
DP00121,0.6666666666666666,0.8888888888888888,Rakesh W,No action needed
DP00122,0.5833333333333334,0.9166666666666666,Neha C,No action needed
DP00123,0.5384615384615384,0.6923076923076923,Kiran V,No action needed
DP00124,0.8181818181818182,0.7272727272727273,Neha S,No action needed
DP00125,0.75,0.75,Santosh W,No action needed
DP00126,0.42857142857142855,0.7142857142857143,Nikhil H,No action needed
DP00127,0.375,0.75,Neha A,No action needed
DP00128,0.7777777777777778,0.5555555555555556,Rahul S,No action needed
DP00129,0.42857142857142855,0.7142857142857143,Priya O,No action needed
DP00130,0.6923076923076923,0.7692307692307693,Rakesh R,No action needed
DP00131,0.6666666666666666,0.6666666666666666,Priya D,No action needed
DP00132,0.7272727272727273,1.0,Nikhil V,No action needed
DP00133,0.625,0.875,Priya F,No action needed
DP00134,0.6363636363636364,0.7272727272727273,Suresh F,No action needed
DP00135,0.6923076923076923,0.6153846153846154,Manoj Q,No action needed
DP00136,0.625,0.9375,Shreya G,No action needed
DP00137,0.75,0.8333333333333334,Arjun I,No action needed
DP00138,0.3333333333333333,0.8888888888888888,Kiran M,No action needed
DP00139,0.7058823529411765,0.7058823529411765,Ravi B,No action needed
DP00140,0.3333333333333333,0.6666666666666666,Rakesh N,No action needed
DP00141,0.7142857142857143,0.7142857142857143,Shreya N,No action needed
DP00142,0.7272727272727273,0.6363636363636364,Amit X,No action needed
DP00143,0.7142857142857143,0.8571428571428571,Divya X,No action needed
DP00144,0.6666666666666666,0.6666666666666666,Neha U,No action needed
DP00145,0.5,0.625,Shreya J,No action needed
DP00146,0.7,0.7,Neha Q,No action needed
DP00147,0.75,0.5833333333333334,Deepak X,No action needed
DP00148,0.5,1.0,Vikas P,No action needed
DP00149,0.6666666666666666,0.6666666666666666,Sneha U,No action needed
DP00150,0.7058823529411765,0.9411764705882353,Manoj M,No action needed
DP00151,0.7,0.7,Suresh N,No action needed
DP00152,0.6,1.0,Vikas V,No action needed
DP00153,0.6428571428571429,0.5,Ananya T,No action needed
DP00154,0.6666666666666666,0.5555555555555556,Pooja X,No action needed
DP00155,0.625,0.875,Nikhil V,No action needed
DP00156,0.5294117647058824,0.6470588235294118,Amit K,No action needed
DP00157,1.0,1.0,Priya X,Suspend immediately
DP00158,0.8181818181818182,0.6363636363636364,Manoj E,No action needed
DP00159,0.6666666666666666,1.0,Suresh B,No action needed
DP00160,0.7777777777777778,0.8888888888888888,Rakesh C,No action needed
DP00161,0.5714285714285714,0.42857142857142855,Manoj D,No action needed
DP00162,0.4166666666666667,0.75,Meena Z,No action needed
DP00163,0.5,0.8,Santosh W,No action needed
DP00164,0.6153846153846154,0.46153846153846156,Meena B,No action needed
DP00165,0.8181818181818182,0.8181818181818182,Priya Z,No action needed
DP00166,0.5714285714285714,0.7142857142857143,Deepak N,No action needed
DP00167,0.0,1.0,Rahul B,No action needed
DP00168,0.5384615384615384,0.6153846153846154,Deepak C,No action needed
DP00169,0.875,0.375,Nikhil V,No action needed
DP00170,0.5555555555555556,0.6666666666666666,Neha T,No action needed
DP00171,0.7,0.7,Vikas W,No action needed
DP00172,0.5555555555555556,0.6666666666666666,Manoj C,No action needed
